,Unnamed: 0,state_code,dist_code,court_no,total_judge_days,avg_judge_count,mean_tenure_days,median_tenure_days,num_judges,num_valid_entries,total_cases,total_valid_cases,median_decision_days,mean_decision_days
0,0,1.0,1.0,3.0,9900.0,3.0136986301369864,758.2777777777777,437.0,18.0,18.0,5276.0,5191.0,365.0,615.3138123675592
1,2,1.0,2.0,1.0,17992.0,5.477016742770166,493.5740740740741,299.5,54.0,54.0,32683.0,32218.0,590.0,832.8967347445528
2,4,1.0,4.0,1.0,35359.0,10.763774733637748,505.10434782608695,379.0,115.0,115.0,17428.0,17108.0,295.0,719.2532733224223
3,7,1.0,5.0,1.0,25837.0,7.865144596651446,639.1698113207548,545.0,53.0,53.0,23321.0,22954.0,261.0,625.4431907292847
4,10,1.0,8.0,1.0,30322.0,9.230441400304414,536.0759493670886,365.0,79.0,79.0,24908.0,23755.0,119.0,496.2390654599032
5,11,1.0,9.0,1.0,47872.0,14.572907153729071,388.2415730337079,213.0,178.0,178.0,97774.0,97021.0,578.0,859.3705177229672
6,16,1.0,13.0,13.0,4923.0,1.498630136986301,495.6153846153846,362.0,13.0,13.0,6162.0,6125.0,16.0,590.6011428571428
7,17,1.0,14.0,1.0,41524.0,12.640487062404869,616.5,595.0,112.0,112.0,17732.0,17657.0,238.0,557.8447074814521
8,18,1.0,14.0,6.0,5375.0,1.6362252663622527,381.625,338.0,16.0,16.0,4855.0,4832.0,346.0,735.928394039735
9,21,1.0,15.0,2.0,8076.0,2.4584474885844747,577.1428571428571,392.0,21.0,21.0,29020.0,28323.0,564.0,800.2308724358295
10,25,1.0,17.0,4.0,22449.0,6.833789954337901,474.9090909090909,320.0,77.0,77.0,5075.0,4890.0,188.0,632.1411042944785
11,26,1.0,17.0,7.0,7532.0,2.2928462709284627,361.81578947368416,250.0,38.0,38.0,5147.0,5082.0,143.5,522.1585989767808
12,29,1.0,19.0,4.0,16984.0,5.170167427701674,399.27118644067804,223.0,59.0,59.0,66988.0,66562.0,504.0,758.0723235479703
13,30,1.0,20.0,1.0,56965.0,17.340943683409442,585.3795620437958,380.0,137.0,137.0,55841.0,55332.0,499.0,744.250614472638
14,31,1.0,20.0,7.0,7603.0,2.314459665144597,300.7714285714285,188.0,35.0,35.0,10793.0,10716.0,746.0,876.1774916013438
15,33,1.0,21.0,1.0,53905.0,16.409436834094368,554.3046875,380.0,128.0,128.0,70804.0,70075.0,255.0,635.5749554049233
16,39,1.0,25.0,1.0,50321.0,15.31841704718417,639.1981132075472,359.5,106.0,106.0,129158.0,127817.0,410.0,783.3208649866606
17,41,1.0,26.0,1.0,46093.0,14.031354642313547,544.2452830188679,378.0,106.0,106.0,51210.0,50670.0,455.0,774.1441878823762
18,42,1.0,26.0,9.0,5761.0,1.7537290715372906,278.5,75.0,34.0,34.0,8651.0,8614.0,528.5,729.1642674715579
19,44,1.0,27.0,1.0,38825.0,11.818873668188735,664.5352112676056,607.0,71.0,71.0,37772.0,37099.0,349.0,624.4127065419553
20,45,1.0,27.0,9.0,6110.0,1.859969558599696,312.8148148148148,108.0,27.0,27.0,14058.0,13957.0,442.0,827.8116357383392
21,46,1.0,27.0,13.0,4162.0,1.2669710806697108,296.0,214.0,19.0,19.0,7967.0,7922.0,339.5,653.8765463266852
22,47,1.0,28.0,1.0,39522.0,12.031050228310502,636.1176470588234,547.0,85.0,85.0,28138.0,25020.0,472.0,710.5033573141487
23,48,1.0,28.0,11.0,4858.0,1.4788432267884322,307.15,122.5,20.0,20.0,5325.0,5259.0,489.0,735.571781707549
24,49,1.0,28.0,12.0,4935.0,1.5022831050228311,332.3125,63.0,16.0,16.0,4024.0,4014.0,765.0,883.5196811160937
25,51,1.0,29.0,1.0,34879.0,10.61765601217656,584.2133333333334,600.0,75.0,75.0,30311.0,30213.0,452.0,646.1786979114951
26,52,1.0,29.0,6.0,6244.0,1.9007610350076105,419.06666666666666,265.0,15.0,15.0,6813.0,6762.0,628.0,743.3473824312333
27,54,1.0,30.0,1.0,44307.0,13.487671232876714,625.9387755102042,644.0,98.0,98.0,41489.0,41275.0,131.0,455.02609327680193
28,55,1.0,30.0,12.0,10313.0,3.1394216133942163,482.64516129032256,244.0,31.0,31.0,4682.0,4613.0,125.0,427.6722306525038
29,56,1.0,30.0,17.0,3650.0,1.1111111111111112,369.21428571428567,251.5,14.0,14.0,12577.0,12542.0,528.5,781.5957582522724
30,57,1.0,31.0,1.0,47231.0,14.377777777777776,820.3734939759038,473.0,83.0,83.0,29647.0,29277.0,648.0,814.8784028418212
31,58,1.0,31.0,7.0,9530.0,2.9010654490106544,522.1428571428571,180.0,28.0,28.0,8543.0,8522.0,1130.0,1243.6992490025816
32,59,1.0,31.0,17.0,5415.0,1.6484018264840183,292.75,91.0,24.0,24.0,6010.0,5963.0,651.0,855.152607747778
33,60,1.0,32.0,1.0,32879.0,10.00882800608828,514.6666666666666,448.0,99.0,99.0,8538.0,8501.0,550.0,709.4840606987414
